Customer_ID,Membership_Tier,Customer_Since,Age,Gender,City,Occupation,Income_Level,Total_Transactions_6M,Total_Spend_6M,Average_Order_Value,Preferred_Brand,Reward_Utilization,Reward_Expiry_Risk,Purchase_Frequency,Loyalty_Engagement,Days_Since_Last_Purchase,Upgrade_Readiness,Customer_Health,Churn_Risk
C0001,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,7,591703,84529.0,Apple,0.5,0.05,1.17,High,56,No,Needs Attention,Low
C0002,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,10,962008,96200.8,Sony,0.22,0.12,1.67,High,1,No,Critical,Low
C0003,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,6,893587,148931.17,Apple,0.36,0.02,1.0,Medium,25,No,Critical,Low
C0004,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,9,543387,60376.33,Bose,0.49,0.01,1.5,High,12,No,Needs Attention,Low
C0005,Platinum,2023-03-25,41,Female,Delhi,Business,Low,8,734954,91869.25,Bose,0.44,0.09,1.33,High,27,No,Needs Attention,Low
C0006,Gold,2020-11-12,59,Male,Hyderabad,Doctor,Low,7,494003,70571.86,Samsung,0.42,0.0,1.17,High,3,No,Needs Attention,Low
C0007,Gold,2020-08-16,52,Female,Mumbai,Business,High,7,717977,102568.14,Samsung,0.4,0.04,1.17,Medium,11,No,Needs Attention,Low
C0008,Gold,2020-01-14,37,Male,Delhi,Business,Low,10,1146662,114666.2,Samsung,0.38,0.06,1.67,High,13,No,Critical,Low
C0009,Platinum,2022-04-07,29,Female,Mumbai,CA,High,7,1016241,145177.29,Sony,0.3,0.0,1.17,High,30,No,Critical,Low
C0010,Gold,2024-02-14,45,Male,Bengaluru,Doctor,Low,4,492915,123228.75,Samsung,0.38,0.08,0.67,Medium,103,No,Critical,Low
C0011,Silver,2023-09-25,39,Female,Bengaluru,Doctor,Low,8,804060,100507.5,Apple,0.43,0.16,1.33,High,53,No,Needs Attention,Low
C0012,Bronze,2020-06-10,46,Male,Delhi,CA,High,8,730840,91355.0,Bose,0.49,0.08,1.33,Medium,34,No,Needs Attention,Low
C0013,Silver,2024-07-25,36,Female,Mumbai,Engineer,Low,10,871684,87168.4,Sony,0.44,0.0,1.67,High,31,No,Needs Attention,Low
C0014,Bronze,2021-05-16,26,Male,Hyderabad,Engineer,Medium,8,608255,76031.88,Apple,0.28,0.11,1.33,High,2,No,Critical,Low
C0015,Bronze,2023-01-02,52,Male,Ahmedabad,Student,High,6,563759,93959.83,Bose,0.43,0.0,1.0,Medium,14,No,Needs Attention,Low
C0016,Silver,2019-10-11,27,Female,Bengaluru,Doctor,Low,8,640622,80077.75,Google Nest,0.33,0.0,1.33,High,13,No,Critical,Low
C0017,Platinum,2023-04-29,33,Male,Pune,Engineer,High,6,315947,52657.83,Apple,0.39,0.22,1.0,Medium,7,No,Critical,Low
C0018,Silver,2023-05-19,46,Female,Ahmedabad,Doctor,Low,8,521715,65214.38,Bose,0.65,0.05,1.33,High,47,No,Needs Attention,Low
C0019,Gold,2020-06-19,31,Female,Bengaluru,Doctor,Medium,4,266543,66635.75,Google Nest,0.25,0.04,0.67,Medium,32,No,Critical,Low
C0020,Bronze,2022-02-11,60,Male,Mumbai,Manager,Medium,5,414773,82954.6,Sony,0.28,0.19,0.83,Medium,30,No,Critical,Low
C0021,Gold,2024-06-04,60,Male,Mumbai,Business,Low,6,707040,117840.0,Samsung,0.42,0.11,1.0,Medium,42,No,Needs Attention,Low
C0022,Gold,2024-04-17,59,Male,Hyderabad,Doctor,Low,9,681013,75668.11,Google Nest,0.35,0.11,1.5,High,9,No,Critical,Low
C0023,Bronze,2021-06-08,58,Female,Bengaluru,Engineer,Low,8,650997,81374.62,Samsung,0.54,0.0,1.33,High,24,No,Needs Attention,Low
C0024,Platinum,2021-04-05,49,Female,Bengaluru,Student,Medium,9,684625,76069.44,Apple,0.61,0.02,1.5,High,17,No,Needs Attention,Low
C0025,Gold,2020-06-28,33,Female,Bengaluru,Business,High,5,372912,74582.4,Google Nest,0.53,0.13,0.83,Medium,83,No,Needs Attention,Low
C0026,Gold,2020-11-03,42,Female,Hyderabad,CA,Low,7,854062,122008.86,Samsung,0.34,0.1,1.17,Medium,17,No,Critical,Low
C0027,Bronze,2023-12-30,32,Male,Hyderabad,Engineer,High,9,841424,93491.56,Google Nest,0.39,0.08,1.5,High,5,No,Critical,Low
