Customer_ID,Membership_Tier,Customer_Since,Age,Gender,City,Occupation,Income_Level,Total_Transactions_6M,Total_Spend_6M,Average_Order_Value,Preferred_Brand,Reward_Utilization,Reward_Expiry_Risk,Purchase_Frequency,Loyalty_Engagement,Days_Since_Last_Purchase,Upgrade_Readiness,Customer_Health,Churn_Risk,favorite_category,favorite_brand,top_merchant,category_diversity,brand_diversity,spending_diversity_score,average_days_between_purchases,seasonality_score,recency,frequency,monetary,total_spend,average_order_value,purchase_frequency,days_since_last_purchase,reward_points_earned,reward_points_redeemed,reward_utilization_pct,coupon_usage_pct,reward_redemption_rate,average_reward_per_transaction,website_visits,session_duration,wishlist_added,cart_abandoned,email_click_rate,push_notification_response,app_usage_score,customer_engagement_score,online_purchase_ratio,offline_purchase_ratio,weekend_shopping_ratio,average_monthly_spend,customer_lifetime_value,estimated_annual_spend,profitability_score,customer_health_score,upgrade_readiness_score,churn_risk_score,loyalty_score,high_value_customer_flag,dormancy_flag,premium_customer_flag
C0001,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,7,591703,84529.0,Apple,0.5,0.05,1.17,High,56,No,Needs Attention,Low,Smartphone,Apple,Offline,3,3,0.9821410301041575,14.666666666666666,0.49778665858977217,57,7,591703.0,591703.0,84529.0,1.1666666666666667,57,5913.0,2978.0,50.363605529572794,42.857142857142854,0.4521026256989485,844.7142857142857,73.0,22.0,0.0,0.0,0.0,0.0,100.0,78.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,98617.16666666667,8116172.57,1183406.0,177481.12,40.0,0.0,10.0,81.47272110591456,0,0,1
C0002,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,10,962008,96200.8,Sony,0.22,0.12,1.67,High,1,No,Critical,Low,Audio,Sony,App,4,3,0.9232196694501177,19.88888888888889,0.6220637359113693,2,10,962008.0,962008.0,96200.8,1.6666666666666667,2,9615.0,2090.0,21.736869452171742,40.0,0.18414096900075685,961.5,120.0,16.1,0.0,0.0,0.0,0.0,100.0,78.0,0.7,0.3,0.4,160334.66666666666,10503731.43,1924016.0,288581.5,10.0,0.0,10.0,68.24737389043435,1,0,1
C0003,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,6,893587,148931.17,Apple,0.36,0.02,1.0,Medium,25,No,Critical,Low,Smartphone,Apple,App,4,3,0.8962406222948989,20.6,0.632585175947836,26,6,893587.0,893587.0,148931.16666666666,1.0,26,8933.0,3257.0,36.460315642605714,16.666666666666664,0.3065700298319183,1488.8333333333333,54.0,22.166666666666668,0.0,0.0,0.0,0.0,100.0,66.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,148931.16666666666,3385966.89,1787174.0,268043.53,10.0,0.0,10.0,52.59206312852114,1,0,0
C0004,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,9,543387,60376.33,Bose,0.49,0.01,1.5,High,12,No,Needs Attention,Low,Speaker,Bose,Offline,2,2,0.9182958311690995,19.75,0.9776321460498745,13,9,543387.0,543387.0,60376.333333333336,1.5,13,5429.0,2678.0,49.327684565614874,55.55555555555556,0.4353055909699194,603.2222222222222,78.0,20.88888888888889,0.0,0.0,0.0,0.0,100.0,78.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,90564.5,1196120.87,1086774.0,162989.32,40.0,0.0,10.0,73.76553691312297,0,0,1
C0005,Platinum,2023-03-25,41,Female,Delhi,Business,Low,8,734954,91869.25,Bose,0.44,0.09,1.33,High,27,No,Needs Attention,Low,Audio,Bose,Online,3,2,0.8194483691420859,21.285714285714285,0.5707117867526212,28,8,734954.0,734954.0,91869.25,1.3333333333333333,28,7345.0,3249.0,44.23417284651576,62.5,0.40051775098555503,918.125,88.0,20.5,0.0,0.0,0.0,0.0,100.0,78.0,1.0,0.0,0.375,122492.33333333333,4905729.92,1469908.0,220453.71,40.0,0.0,10.0,80.24683456930316,0,0,1
C0006,Gold,2020-11-12,59,Male,Hyderabad,Doctor,Low,7,494003,70571.86,Samsung,0.42,0.0,1.17,High,3,No,Needs Attention,Low,Smartphone,Samsung,App,3,1,0.8699155270429084,19.5,0.5809044987314654,4,7,494003.0,494003.0,70571.85714285714,1.1666666666666667,4,4936.0,2064.0,41.815234923388914,28.57142857142857,0.37015781856140995,705.1428571428571,69.0,16.571428571428573,0.0,0.0,0.0,0.0,100.0,78.0,0.7142857142857143,0.2857142857142857,0.42857142857142855,82333.83333333333,5631837.08,988006.0,148180.26,40.0,0.0,10.0,72.26304698467779,0,0,1
C0007,Gold,2020-08-16,52,Female,Mumbai,Business,High,7,717977,102568.14,Samsung,0.4,0.04,1.17,Medium,11,No,Needs Attention,Low,Audio,Samsung,Offline,4,3,0.9211854937031643,27.166666666666668,0.8028602672520491,12,7,717977.0,717977.0,102568.14285714286,1.1666666666666667,12,7177.0,2902.0,40.43472197236349,28.57142857142857,0.35133171870298824,1025.2857142857142,96.0,18.428571428571427,0.0,0.0,0.0,0.0,100.0,66.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,119662.83333333333,8531198.3,1435954.0,215364.08,40.0,0.0,10.0,68.38694439447269,0,0,1
C0008,Gold,2020-01-14,37,Male,Delhi,Business,Low,10,1146662,114666.2,Samsung,0.38,0.06,1.67,High,13,No,Critical,Low,Audio,Samsung,Online,5,3,0.9349775266604486,18.555555555555557,0.4795292361028869,14,10,1146662.0,1146662.0,114666.2,1.6666666666666667,14,11461.0,4319.0,37.68432070702005,60.0,0.335638793646535,1146.1,77.0,20.9,0.0,0.0,0.0,0.0,100.0,78.0,0.6,0.4,0.3,191110.33333333334,14974887.72,2293324.0,343955.41,10.0,0.0,10.0,71.43686414140402,1,0,1
C0009,Platinum,2022-04-07,29,Female,Mumbai,CA,High,7,1016241,145177.29,Sony,0.3,0.0,1.17,High,30,No,Critical,Low,Audio,Sony,Offline,3,2,0.9141008892878475,12.5,0.6849974310829157,31,7,1016241.0,1016241.0,145177.2857142857,1.1666666666666667,31,10158.0,3018.0,29.710572918182148,42.857142857142854,0.25591452534900827,1451.142857142857,88.0,25.0,0.0,0.0,0.0,0.0,100.0,78.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,169373.5,8742037.57,2032482.0,304842.12,10.0,0.0,10.0,77.34211458363643,1,0,1
C0010,Gold,2024-02-14,45,Male,Bengaluru,Doctor,Low,4,492915,123228.75,Samsung,0.38,0.08,0.67,Medium,103,No,Critical,Low,Audio,Samsung,Online,4,3,0.9999999971146099,25.666666666666668,0.5936771836795925,104,4,492915.0,492915.0,123228.75,0.6666666666666666,104,4927.0,1855.0,37.64968533052632,50.0,0.2844219560189789,1231.75,31.0,24.25,0.0,0.0,0.0,0.0,86.25,62.699999999999996,1.0,0.0,0.75,82152.5,2410256.51,985830.0,147855.95,10.0,0.0,10.0,66.83993706610526,0,1,1
