Customer_ID,Cluster,Persona,Top_3_Rewards,Scores,Business_Insight,Expected_Impact,Customer_Message
C0001,2,Value Shopper,"[{'reward_name': 'Travel Cashback', 'score': 86.08, 'reason': 'Value Shopper customers respond well to travel cashback because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through travel cashback.'}, {'reward_name': 'Cashback', 'score': 84.78, 'reason': 'Value Shopper customers respond well to cashback because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through cashback.'}, {'reward_name': 'Shopping Vouchers', 'score': 83.08, 'reason': 'Value Shopper customers respond well to shopping vouchers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through shopping vouchers.'}]","[86.08, 84.78, 83.08]","Value Shopper customers in cluster 2 show a strong fit for Travel Cashback, Cashback, Shopping Vouchers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Value Shopper in cluster 2: prioritize Travel Cashback, Cashback, Shopping Vouchers. Value Shopper customers in cluster 2 show a strong fit for Travel Cashback, Cashback, Shopping Vouchers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0002,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 87.35, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 85.65, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 85.65, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[87.35, 85.65, 85.65]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0003,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 83.51, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 81.81, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 81.81, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[83.51, 81.81, 81.81]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0004,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 91.16, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 89.46, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 89.46, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[91.16, 89.46, 89.46]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0005,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 91.13, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 89.43, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 89.43, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[91.13, 89.43, 89.43]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0006,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 90.12, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 88.42, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 88.42, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[90.12, 88.42, 88.42]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0007,0,Digital Explorer,"[{'reward_name': 'Electronics Discounts', 'score': 82.51, 'reason': 'Digital Explorer customers respond well to electronics discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through electronics discounts.'}, {'reward_name': 'Travel Cashback', 'score': 82.01, 'reason': 'Digital Explorer customers respond well to travel cashback because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through travel cashback.'}, {'reward_name': 'Cashback', 'score': 80.71, 'reason': 'Digital Explorer customers respond well to cashback because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through cashback.'}]","[82.51, 82.01, 80.71]","Digital Explorer customers in cluster 0 show a strong fit for Electronics Discounts, Travel Cashback, Cashback based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Digital Explorer in cluster 0: prioritize Electronics Discounts, Travel Cashback, Cashback. Digital Explorer customers in cluster 0 show a strong fit for Electronics Discounts, Travel Cashback, Cashback based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0008,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 89.55, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 87.85, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 87.85, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[89.55, 87.85, 87.85]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0009,1,Luxury Lifestyle,"[{'reward_name': 'Airport Lounge Access', 'score': 89.13, 'reason': 'Luxury Lifestyle customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 87.43, 'reason': 'Luxury Lifestyle customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 87.43, 'reason': 'Luxury Lifestyle customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[89.13, 87.43, 87.43]","Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Luxury Lifestyle in cluster 1: prioritize Airport Lounge Access, Hotel Discounts, Lifestyle Offers. Luxury Lifestyle customers in cluster 1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
C0010,2,Value Shopper,"[{'reward_name': 'Travel Cashback', 'score': 81.7, 'reason': 'Value Shopper customers respond well to travel cashback because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through travel cashback.'}, {'reward_name': 'Cashback', 'score': 80.4, 'reason': 'Value Shopper customers respond well to cashback because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through cashback.'}, {'reward_name': 'Shopping Vouchers', 'score': 78.7, 'reason': 'Value Shopper customers respond well to shopping vouchers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through shopping vouchers.'}]","[81.7, 80.4, 78.7]","Value Shopper customers in cluster 2 show a strong fit for Travel Cashback, Cashback, Shopping Vouchers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,"Value Shopper in cluster 2: prioritize Travel Cashback, Cashback, Shopping Vouchers. Value Shopper customers in cluster 2 show a strong fit for Travel Cashback, Cashback, Shopping Vouchers based on spend, engagement, and reward behavior Expected impact: Moderate uplift in engagement and repeat purchase intent with a clear ROI path."
