Customer_ID,predicted_churn_risk,predicted_customer_health,recommended_action,customer_message,Top_3_Rewards,Scores,Business_Insight,Expected_Impact,Cluster,Persona
C0001,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 80.04, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 78.34, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 78.34, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[80.04, 78.34, 78.34]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0002,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 76.61, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 74.91, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 74.91, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[76.61, 74.91, 74.91]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0003,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 74.18, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 72.48, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 72.48, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[74.18, 72.48, 72.48]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0004,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 79.92, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 78.22, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 78.22, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their speaker preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[79.92, 78.22, 78.22]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0005,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 79.31, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 77.61, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 77.61, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[79.31, 77.61, 77.61]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0006,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 79.02, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 77.32, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 77.32, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their smartphone preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[79.02, 77.32, 77.32]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0007,Low,Needs Attention,loyalty_nudge,We are nudging the customer with a personalized loyalty experience.,"[{'reward_name': 'Airport Lounge Access', 'score': 77.65, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 75.95, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 75.95, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[77.65, 75.95, 75.95]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0008,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 78.52, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 76.82, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 76.82, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[78.52, 76.82, 76.82]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0009,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 77.57, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 75.87, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 75.87, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[77.57, 75.87, 75.87]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
C0010,Low,Critical,retention_offer,We are prioritizing a tailored retention offer to protect engagement.,"[{'reward_name': 'Airport Lounge Access', 'score': 76.99, 'reason': 'Unknown customers respond well to airport lounge access because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through airport lounge access.'}, {'reward_name': 'Hotel Discounts', 'score': 75.29, 'reason': 'Unknown customers respond well to hotel discounts because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through hotel discounts.'}, {'reward_name': 'Lifestyle Offers', 'score': 75.29, 'reason': 'Unknown customers respond well to lifestyle offers because the offer is aligned to their audio preference and reward behavior.', 'business_benefit': 'Improves loyalty performance and encourages repeat purchases.', 'customer_benefit': 'Helps the customer receive more value from their purchases through lifestyle offers.'}]","[76.99, 75.29, 75.29]","Unknown customers in cluster -1 show a strong fit for Airport Lounge Access, Hotel Discounts, Lifestyle Offers based on spend, engagement, and reward behavior.",Moderate uplift in engagement and repeat purchase intent with a clear ROI path.,-1,Unknown
